City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Vengerovo,RU,55.6848,76.7471,11.01,82,100,10.18,overcast clouds
259,Pailon,BO,-17.65,-62.75,85.68,68,97,2.21,overcast clouds
260,Kahului,US,20.8947,-156.47,73.85,88,0,4.61,clear sky
261,Svetlaya,RU,46.5389,138.3297,6.24,62,100,4.36,overcast clouds
262,Stromness,GB,58.965,-3.296,35.87,79,100,13.0,overcast clouds
263,Jalcocotan,MX,21.4667,-105.1167,48.81,45,15,1.52,few clouds
264,Aklavik,CA,68.2191,-135.0107,-4.0,77,100,4.61,overcast clouds
265,Simbahan,PH,6.3032,120.5836,80.78,79,70,3.74,broken clouds
266,Tautira,PF,-17.7333,-149.15,80.74,69,26,13.58,scattered clouds
267,Cajazeiras,BR,-6.8903,-38.5553,94.05,31,98,8.72,overcast clouds
268,Katangli,RU,51.7102,143.2326,-28.03,100,86,5.73,overcast clouds
269,Olinda,BR,-8.0089,-34.8553,83.93,70,75,11.5,moderate rain
270,Eenhana,NA,-17.4667,16.3333,75.92,63,100,6.11,overcast clouds
271,Iracoubo,GF,5.4802,-53.2011,80.22,72,74,8.14,broken clouds
272,Ponta Do Sol,PT,32.6667,-17.1,63.12,58,23,6.51,few clouds
273,Umm Kaddadah,SD,13.6017,26.6876,75.33,13,69,11.74,broken clouds
274,Carnarvon,AU,-24.8667,113.6333,79.18,70,31,12.26,scattered clouds
275,Bilma,NE,18.6853,12.9164,74.48,13,0,2.59,clear sky
276,Manoel Urbano,BR,-8.8389,-69.2597,71.6,99,100,1.23,light rain
277,Port Blair,IN,11.6667,92.75,75.24,73,100,0.0,haze
278,Springbok,ZA,-29.6643,17.8865,74.98,40,86,15.93,overcast clouds
279,Kentau,KZ,43.5206,68.5094,21.92,65,0,7.76,clear sky
280,Cabanas,CU,22.9758,-82.9219,76.62,55,0,11.9,clear sky
281,Dunedin,NZ,-45.8742,170.5036,58.8,87,78,1.99,broken clouds
282,Ilo,PE,-17.6394,-71.3375,72.46,64,0,11.5,clear sky
283,Port Macquarie,AU,-31.4333,152.9167,66.88,78,22,13.24,few clouds
284,College,US,64.8569,-147.8028,-16.28,77,40,0.0,scattered clouds
285,Huangchuan,CN,32.1272,115.0394,38.8,45,96,7.18,overcast clouds
286,Vao,NC,-22.6667,167.4833,74.57,71,100,19.04,overcast clouds
287,Muisne,EC,0.6,-80.0333,79.12,73,67,7.2,broken clouds
288,Bonaventure,CA,48.0457,-65.4926,34.38,100,100,5.75,snow
289,Bethal,ZA,-26.4579,29.4655,80.55,26,100,8.84,overcast clouds
290,Katsuura,JP,35.1333,140.3,47.26,80,86,19.64,overcast clouds
291,Nome,US,64.5011,-165.4064,-7.53,64,0,16.11,clear sky
292,Kamien Pomorski,PL,53.9685,14.7726,32.36,60,100,3.87,overcast clouds
293,Egvekinot,RU,66.3167,-179.1667,-19.35,86,98,8.7,overcast clouds
294,Nizwa,OM,22.9333,57.5333,71.6,57,13,4.83,few clouds
295,Ngemplak,ID,-7.5497,110.7164,75.22,90,100,1.5,overcast clouds
296,San-Pedro,CI,4.7485,-6.6363,85.14,63,88,10.36,overcast clouds
297,Ust-Tsilma,RU,65.441,52.1498,0.84,98,68,4.12,broken clouds
298,East London,ZA,-33.0153,27.9116,81.54,74,20,8.05,few clouds
299,Hasaki,JP,35.7333,140.8333,45.0,60,96,24.58,overcast clouds
300,Beian,NO,63.6559,9.5683,34.02,75,0,11.5,clear sky
301,Doha,QA,25.2867,51.5333,64.38,63,78,13.8,broken clouds
302,Colac,AU,-38.3333,143.5833,51.84,56,100,7.23,overcast clouds
303,Husavik,IS,66.0449,-17.3389,26.67,75,100,11.05,light snow
304,Obo,CF,5.3998,26.4869,87.82,21,8,4.12,clear sky
305,Dukat,RU,62.55,155.55,-30.12,96,100,4.81,overcast clouds
306,Sisimiut,GL,66.9395,-53.6735,-5.42,70,62,12.88,broken clouds
307,Seymchan,RU,62.8833,152.4333,-23.44,96,100,5.12,overcast clouds
308,Mahina,PF,-17.5065,-149.489,74.97,78,20,4.61,few clouds
309,Vanimo,PG,-2.6741,141.3028,76.48,90,75,9.66,broken clouds
310,Marsh Harbour,BS,26.5412,-77.0636,72.34,61,3,7.18,clear sky
311,Bukama,CD,-9.2,25.85,74.48,87,54,4.79,broken clouds
312,Huarmey,PE,-10.0681,-78.1522,74.21,69,62,8.79,broken clouds
313,Muros,ES,42.7762,-9.0603,50.85,81,50,21.18,scattered clouds
314,Avera,US,33.194,-82.5271,61.38,84,93,4.79,overcast clouds
